batch_size,cache_state,ci95_overlap,device_label,marginal_rank,num_steps,oracle_action,oracle_runtime_s,relative_margin,runner_up_action,runner_up_runtime_s,time_accounting_mode,workload_id
32,cold_cache,True,RTX 4060,True,100,eager,0.048083,0.009338,graphs_only,0.048532,cold_total,rl_policy_infer
32,cold_cache,False,RTX 4060,False,500,graphs_only,0.057538,0.089158,best_eager,0.062668,cold_total,rl_policy_infer
1,cold_cache,True,RTX 4060,True,10,best_eager,0.095276,0.004692,eager,0.095723,cold_total,short_text_transformer_dynamic
1,cold_cache,True,RTX 4060,True,50,eager,0.105811,0.00929,best_eager,0.106794,cold_total,short_text_transformer_dynamic
1,cold_cache,True,RTX 4060,True,100,best_eager,0.11809,0.011,eager,0.119389,cold_total,short_text_transformer_dynamic
1,cold_cache,True,RTX 4060,True,500,best_eager,0.221832,0.002466,eager,0.222379,cold_total,short_text_transformer_dynamic
4,cold_cache,True,RTX 4060,True,10,eager,0.065132,0.011285,best_eager,0.065867,cold_total,short_text_transformer_dynamic
4,cold_cache,True,RTX 4060,True,50,eager,0.074919,0.014109,best_eager,0.075976,cold_total,short_text_transformer_dynamic
4,cold_cache,True,RTX 4060,True,100,best_eager,0.088429,0.003969,eager,0.08878,cold_total,short_text_transformer_dynamic
4,cold_cache,True,RTX 4060,True,500,best_eager,0.191178,0.002406,eager,0.191638,cold_total,short_text_transformer_dynamic
16,cold_cache,True,RTX 4060,True,10,eager,0.066,0.012742,best_eager,0.066841,cold_total,short_text_transformer_dynamic
16,cold_cache,True,RTX 4060,True,50,eager,0.08001,0.010899,best_eager,0.080882,cold_total,short_text_transformer_dynamic
16,cold_cache,True,RTX 4060,True,100,best_eager,0.097868,0.00514,eager,0.098371,cold_total,short_text_transformer_dynamic
16,cold_cache,True,RTX 4060,True,500,eager,0.238775,0.011513,best_eager,0.241524,cold_total,short_text_transformer_dynamic
32,cold_cache,True,RTX 4060,True,10,eager,0.064827,0.029247,best_eager,0.066723,cold_total,short_text_transformer_dynamic
32,cold_cache,True,RTX 4060,True,50,eager,0.089242,0.007463,best_eager,0.089908,cold_total,short_text_transformer_dynamic
32,cold_cache,True,RTX 4060,True,100,best_eager,0.119614,0.00143,eager,0.119785,cold_total,short_text_transformer_dynamic
32,cold_cache,True,RTX 4060,True,500,best_eager,0.341612,0.031823,eager,0.352483,cold_total,short_text_transformer_dynamic
1,cold_cache,True,RTX 4060,False,10,best_eager,0.145951,0.061,eager,0.154854,cold_total,short_text_transformer_padded
1,cold_cache,True,RTX 4060,True,50,eager,0.17382,0.024497,best_eager,0.178078,cold_total,short_text_transformer_padded
1,cold_cache,True,RTX 4060,True,100,eager,0.205337,0.027326,best_eager,0.210948,cold_total,short_text_transformer_padded
1,cold_cache,True,RTX 4060,True,500,best_eager,0.481563,0.025517,eager,0.493851,cold_total,short_text_transformer_padded
4,cold_cache,True,RTX 4060,True,10,eager,0.151329,0.001639,best_eager,0.151577,cold_total,short_text_transformer_padded
4,cold_cache,True,RTX 4060,True,50,best_eager,0.179538,0.000774,eager,0.179677,cold_total,short_text_transformer_padded
4,cold_cache,True,RTX 4060,True,100,eager,0.209633,0.011992,best_eager,0.212147,cold_total,short_text_transformer_padded
4,cold_cache,True,RTX 4060,True,500,best_eager,0.483975,0.000988,eager,0.484453,cold_total,short_text_transformer_padded
16,cold_cache,True,RTX 4060,True,10,best_eager,0.146904,0.008203,eager,0.148109,cold_total,short_text_transformer_padded
16,cold_cache,True,RTX 4060,True,50,best_eager,0.169716,0.046843,eager,0.177666,cold_total,short_text_transformer_padded
16,cold_cache,True,RTX 4060,True,100,eager,0.214808,0.003966,best_eager,0.21566,cold_total,short_text_transformer_padded
16,cold_cache,True,RTX 4060,True,500,best_eager,0.509069,0.018104,eager,0.518285,cold_total,short_text_transformer_padded
32,cold_cache,True,RTX 4060,True,10,eager,0.149605,0.013877,best_eager,0.151681,cold_total,short_text_transformer_padded
32,cold_cache,True,RTX 4060,True,50,best_eager,0.190065,0.000542,eager,0.190168,cold_total,short_text_transformer_padded
32,cold_cache,True,RTX 4060,True,100,best_eager,0.236417,0.005731,eager,0.237772,cold_total,short_text_transformer_padded
32,cold_cache,True,RTX 4060,True,500,best_eager,0.582865,0.000419,eager,0.583109,cold_total,short_text_transformer_padded
1,cold_cache,False,RTX 4060,False,10,eager,0.078006,40.057739,compile_only,3.20275,cold_total,short_train_small
1,cold_cache,False,RTX 4060,False,50,eager,0.089363,35.106442,compile_only,3.22658,cold_total,short_train_small
1,cold_cache,False,RTX 4060,False,100,eager,0.100644,31.125681,compile_only,3.233257,cold_total,short_train_small
1,cold_cache,False,RTX 4060,False,500,eager,0.196224,16.232306,compile_reduce_overhead,3.381392,cold_total,short_train_small
4,cold_cache,False,RTX 4060,False,10,eager,0.084123,30.925752,compile_only,2.68569,cold_total,short_train_small
4,cold_cache,False,RTX 4060,False,50,eager,0.094005,27.900793,compile_only,2.716819,cold_total,short_train_small
4,cold_cache,False,RTX 4060,False,100,eager,0.106446,24.55569,compile_only,2.720301,cold_total,short_train_small
4,cold_cache,False,RTX 4060,False,500,eager,0.209538,12.724523,compile_reduce_overhead,2.875809,cold_total,short_train_small
16,cold_cache,False,RTX 4060,False,10,eager,0.085217,32.411831,compile_only,2.847256,cold_total,short_train_small
16,cold_cache,False,RTX 4060,False,50,eager,0.095166,29.180285,compile_only,2.872137,cold_total,short_train_small
16,cold_cache,False,RTX 4060,False,100,eager,0.106486,26.025421,compile_only,2.877829,cold_total,short_train_small
16,cold_cache,False,RTX 4060,False,500,eager,0.206852,13.65556,compile_only,3.031532,cold_total,short_train_small
32,cold_cache,False,RTX 4060,False,10,eager,0.08238,33.766472,compile_only,2.864062,cold_total,short_train_small
32,cold_cache,False,RTX 4060,False,50,eager,0.092458,30.314056,compile_only,2.895235,cold_total,short_train_small
32,cold_cache,False,RTX 4060,False,100,eager,0.105494,26.571037,compile_only,2.908579,cold_total,short_train_small
32,cold_cache,False,RTX 4060,False,500,eager,0.210887,13.499898,compile_only,3.05784,cold_total,short_train_small
1,cold_cache,True,RTX 4060,True,10,eager,0.051534,0.009217,best_eager,0.052009,cold_total,synthetic_kernel_chain
1,cold_cache,True,RTX 4060,True,50,best_eager,0.053277,0.018563,graphs_only,0.054266,cold_total,synthetic_kernel_chain
1,cold_cache,True,RTX 4060,True,100,best_eager,0.054466,0.000845,eager,0.054512,cold_total,synthetic_kernel_chain
1,cold_cache,False,RTX 4060,False,500,graphs_only,0.061365,0.073837,eager,0.065896,cold_total,synthetic_kernel_chain
4,cold_cache,True,RTX 4060,True,10,best_eager,0.051582,0.009635,eager,0.052079,cold_total,synthetic_kernel_chain
4,cold_cache,True,RTX 4060,True,50,eager,0.052371,0.006912,best_eager,0.052733,cold_total,synthetic_kernel_chain
4,cold_cache,True,RTX 4060,True,100,eager,0.054115,0.001275,best_eager,0.054184,cold_total,synthetic_kernel_chain
4,cold_cache,False,RTX 4060,True,500,graphs_only,0.063256,0.044486,best_eager,0.06607,cold_total,synthetic_kernel_chain
16,cold_cache,True,RTX 4060,True,10,eager,0.051684,0.006366,best_eager,0.052013,cold_total,synthetic_kernel_chain
16,cold_cache,True,RTX 4060,True,50,eager,0.053396,0.011761,best_eager,0.054024,cold_total,synthetic_kernel_chain
16,cold_cache,True,RTX 4060,True,100,best_eager,0.054431,0.009902,eager,0.05497,cold_total,synthetic_kernel_chain
16,cold_cache,True,RTX 4060,True,500,graphs_only,0.066669,0.01212,best_eager,0.067477,cold_total,synthetic_kernel_chain
32,cold_cache,True,RTX 4060,True,10,eager,0.057055,0.01651,graphs_only,0.057997,cold_total,synthetic_kernel_chain
32,cold_cache,True,RTX 4060,True,50,best_eager,0.05781,0.016399,eager,0.058758,cold_total,synthetic_kernel_chain
32,cold_cache,True,RTX 4060,True,100,eager,0.059155,0.016719,best_eager,0.060144,cold_total,synthetic_kernel_chain
32,cold_cache,True,RTX 4060,True,500,graphs_only,0.07297,0.011676,eager,0.073822,cold_total,synthetic_kernel_chain
1,cold_cache,True,V100,True,10,best_eager,0.129633,0.006287,eager,0.130448,cold_total,cv_online_infer
1,cold_cache,True,V100,True,50,best_eager,0.138831,0.00927,eager,0.140118,cold_total,cv_online_infer
1,cold_cache,True,V100,True,100,best_eager,0.148006,0.007783,eager,0.149158,cold_total,cv_online_infer
1,cold_cache,True,V100,True,500,graphs_only,0.229408,0.008034,best_eager,0.231251,cold_total,cv_online_infer
4,cold_cache,True,V100,True,10,best_eager,0.129872,0.005852,eager,0.130632,cold_total,cv_online_infer
4,cold_cache,True,V100,True,50,eager,0.152611,0.007365,best_eager,0.153735,cold_total,cv_online_infer
4,cold_cache,True,V100,True,100,best_eager,0.181584,0.012149,eager,0.18379,cold_total,cv_online_infer
4,cold_cache,True,V100,True,500,graphs_only,0.408009,0.002098,eager,0.408865,cold_total,cv_online_infer
16,cold_cache,True,V100,True,10,eager,0.141347,0.011044,best_eager,0.142908,cold_total,cv_online_infer
16,cold_cache,True,V100,True,50,best_eager,0.219741,0.002011,eager,0.220183,cold_total,cv_online_infer
16,cold_cache,True,V100,True,100,best_eager,0.310642,0.009873,eager,0.313709,cold_total,cv_online_infer
16,cold_cache,True,V100,True,500,best_eager,1.0532,0.003742,eager,1.057141,cold_total,cv_online_infer
32,cold_cache,True,V100,True,10,eager,0.155212,0.000548,best_eager,0.155297,cold_total,cv_online_infer
32,cold_cache,True,V100,True,50,eager,0.298422,0.006735,best_eager,0.300432,cold_total,cv_online_infer
32,cold_cache,True,V100,True,100,best_eager,0.479292,0.002654,eager,0.480564,cold_total,cv_online_infer
32,cold_cache,True,V100,True,500,best_eager,1.910986,0.000175,eager,1.91132,cold_total,cv_online_infer
1,cold_cache,True,V100,True,10,eager,0.052699,0.009848,best_eager,0.053218,cold_total,decode_toy
1,cold_cache,True,V100,True,50,graphs_only,0.056245,0.02722,best_eager,0.057776,cold_total,decode_toy
